DATE,MEALS,INGREDIENTS
20.5.2024,cereal and milk,"cereal, milk"
,rice and chicken curry,"rice, chicken, potatoes, spices"
,roti and daal,"flour, pulses, salt"
21.5.2024,maggi,"maggi, egg"
,rice and daal,"rice, pulses, salt"
,roti and fish curry,"flour, fish, potatoes, spices"
22.5.2024,bread and omelette,"bread, egg, cheese, onion, tomato, pepper"
,roti and chicken curry,"flour, chicken, potatoes, spices"
,roti and egg curry,"flour, potatoes, egg, spices"
23.5.2024,maggi,"maggi, chicken, peas"
,rice and egg curry,"rice, egg, potatoes, spices"
,roti and chicken curry,"flour, chicken, potatoes, spices"
24.5.2024,bread with PB&J,"bread, peanut butter, jelly"
,rice and fish curry,"rice, fish, potatoes, spices"
,rice and daal,"rice, pulses, salt"
